subjects,temporal
191942.L,NODE2164
106824.L,NODE2164
137431.L,NODE2164
644044.L,NODE2164
174437.L,NODE2164
463040.L,NODE2164
565452.L,NODE2164
130619.L,NODE2164
572045.L,NODE2164
176037.L,NODE2164
382242.L,NODE2164
932554.L,NODE2164
194847.L,NODE2164
562345.L,NODE2164
185947.L,NODE2164
204218.L,NODE2164
159239.L,NODE2164
650746.L,NODE2164
656253.L,NODE2164
162026.L,NODE2164
568963.L,NODE2164
198350.L,NODE2164
715950.L,NODE2164
151425.L,NODE2164
168745.L,NODE2164
180836.L,NODE2164
238033.L,NODE2164
366042.L,NODE2164
601127.L,NODE2164
352132.L,NODE2164
559053.L,NODE2164
102008.L,NODE2164
142828.L,NODE2164
152427.L,NODE2164
393247.L,NODE2164
566454.L,NODE2164
567961.L,NODE2164
119732.L,NODE2164
255740.L,NODE2164
144125.L,NODE2164
569965.L,NODE2164
114217.L,NODE2164
638049.L,NODE2164
178849.L,NODE2164
205119.L,NODE2164
841349.L,NODE2164
685058.R,NODE2164
158338.L,NODE2164
239136.L,NODE2164
599469.R,NODE2164
138332.L,NODE2164
160931.L,NODE2164
154431.L,NODE2164
214726.L,NODE2164
161832.L,NODE2164
173233.L,NODE2164
598568.L,NODE2164
159744.L,NODE2164
172534.L,NODE2164
579867.L,NODE2164
148335.L,NODE2164
173536.L,NODE2164
135124.L,NODE2164
899885.L,NODE2164
108020.L,NODE2164
175742.R,NODE2164
618952.L,NODE2164
194645.R,NODE2164
173940.L,NODE2164
194746.L,NODE2164
158540.L,NODE2164
390645.L,NODE2164
109830.L,NODE2164
209935.L,NODE2164
767464.L,NODE2164
192136.L,NODE2164
355845.L,NODE2164
531940.L,NODE2164
113821.L,NODE2164
101006.R,NODE2164
101006.L,NODE2164
549757.L,NODE2164
162329.L,NODE2164
744553.L,NODE2164
120212.L,NODE2164
192439.L,NODE2164
355542.L,NODE2164
965367.L,NODE2164
114924.L,NODE2164
188347.L,NODE2164
112112.L,NODE2164
497865.L,NODE2164
108525.L,NODE2164
194645.L,NODE2164
138837.L,NODE2164
201515.L,NODE2164
172433.L,NODE2164
202719.L,NODE2164
558657.L,NODE2164
118831.L,NODE2164
308331.L,NODE2164
131621.L,NODE2164
179952.L,NODE2164
295146.L,NODE2164
991267.L,NODE2166
773257.L,NODE2166
558657.R,NODE2166
130114.R,NODE2166
146836.R,NODE2166
119732.R,NODE2166
139637.R,NODE2166
199655.R,NODE2166
766563.R,NODE2166
102109.R,NODE2166
108222.R,NODE2166
353740.L,NODE2166
804646.R,NODE2166
177645.R,NODE2166
770352.R,NODE2166
135629.L,NODE2166
135932.R,NODE2166
145632.R,NODE2166
668361.R,NODE2166
971160.R,NODE2166
214726.R,NODE2166
761957.R,NODE2166
129634.R,NODE2166
355239.R,NODE2166
135225.R,NODE2166
748662.R,NODE2166
210415.R,NODE2166
645450.R,NODE2166
211417.R,NODE2166
592455.R,NODE2166
143830.R,NODE2166
394956.R,NODE2166
513736.R,NODE2166
779370.R,NODE2166
165436.R,NODE2166
878776.R,NODE2166
122418.R,NODE2166
376247.R,NODE2166
154734.R,NODE2166
613235.R,NODE2166
826454.R,NODE2166
748258.L,NODE2166
748258.R,NODE2166
456346.R,NODE2166
182436.R,NODE2166
634748.R,NODE2166
169040.R,NODE2166
257845.R,NODE2166
154532.R,NODE2166
131722.R,NODE2166
174841.R,NODE2166
181232.R,NODE2166
191336.R,NODE2166
180230.R,NODE2166
615744.R,NODE2166
155938.R,NODE2166
158136.R,NODE2166
121618.R,NODE2166
172029.R,NODE2166
644044.R,NODE2166
161327.R,NODE2166
530635.R,NODE2166
138534.L,NODE2166
148840.R,NODE2166
788674.R,NODE2166
112920.R,NODE2166
896879.R,NODE2166
212015.R,NODE2166
581450.R,NODE2166
724446.R,NODE2166
155231.R,NODE2166
198855.R,NODE2166
